Hour,start_timestamp,Busyness Predicted,Taxi Zone ID
0,1691276400.0,0.11415541,100
1,1691280000.0,0.1471498,100
2,1691283600.0,0.117472775,100
3,1691287200.0,0.11331678,100
4,1691290800.0,0.09717302,100
5,1691294400.0,0.028906453,100
6,1691298000.0,0.039744355,100
7,1691301600.0,0.052651383,100
8,1691305200.0,0.12719621,100
9,1691308800.0,0.06861165,100
10,1691312400.0,0.11766124,100
11,1691316000.0,0.15054266,100
12,1691319600.0,0.18307823,100
13,1691323200.0,0.20335913,100
14,1691326800.0,0.20380071,100
15,1691330400.0,0.23678462,100
16,1691334000.0,0.20601884,100
17,1691337600.0,0.23206176,100
18,1691341200.0,0.18618365,100
19,1691344800.0,0.1498562,100
20,1691348400.0,0.1708491,100
21,1691352000.0,0.11567739,100
22,1691355600.0,0.11855657,100
23,1691359200.0,0.08795761,100
0,1691276400.0,0.21763487,107
1,1691280000.0,0.24774422,107
2,1691283600.0,0.2180672,107
3,1691287200.0,0.20854107,107
4,1691290800.0,0.20139956,107
5,1691294400.0,0.13618052,107
6,1691298000.0,0.1814844,107
7,1691301600.0,0.22980799,107
8,1691305200.0,0.30578604,107
9,1691308800.0,0.27634013,107
10,1691312400.0,0.32538974,107
11,1691316000.0,0.3582713,107
12,1691319600.0,0.3920076,107
13,1691323200.0,0.4122885,107
14,1691326800.0,0.4127301,107
15,1691330400.0,0.44571388,107
16,1691334000.0,0.45397043,107
17,1691337600.0,0.48001337,107
18,1691341200.0,0.43413526,107
19,1691344800.0,0.37831306,107
20,1691348400.0,0.31205836,107
21,1691352000.0,0.24498191,107
22,1691355600.0,0.21108873,107
23,1691359200.0,0.1804897,107
0,1691276400.0,0.19231343,113
1,1691280000.0,0.22242282,113
2,1691283600.0,0.15995942,113
3,1691287200.0,0.15580343,113
4,1691290800.0,0.14866191,113
5,1691294400.0,0.08550427,113
6,1691298000.0,0.11326001,113
7,1691301600.0,0.16158363,113
8,1691305200.0,0.2427995,113
9,1691308800.0,0.23997371,113
10,1691312400.0,0.32180965,113
11,1691316000.0,0.35469112,113
12,1691319600.0,0.39621142,113
13,1691323200.0,0.44070897,113
14,1691326800.0,0.44115055,113
15,1691330400.0,0.47413436,113
16,1691334000.0,0.48239088,113
17,1691337600.0,0.5199849,113
18,1691341200.0,0.44818163,113
19,1691344800.0,0.38800034,113
20,1691348400.0,0.26444992,113
21,1691352000.0,0.21432589,113
22,1691355600.0,0.16422853,113
23,1691359200.0,0.12537123,113
0,1691276400.0,0.28187594,114
1,1691280000.0,0.30041122,114
2,1691283600.0,0.27073407,114
3,1691287200.0,0.26863855,114
4,1691290800.0,0.25498906,114
5,1691294400.0,0.19183141,114
6,1691298000.0,0.23219629,114
